,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall\walljo01,University of Kentucky,8,519,18671,9787,2288,4772,.433,.320,.788,36.0,18.9,4.4,9.2,42.1,.108,2.5,21.0
2,2,PHI,Evan Turner\turneev01,Ohio State University,8,563,15813,5844,2782,2034,.430,.292,.785,28.1,10.4,4.9,3.6,16.4,.050,-2.1,-0.2
3,3,NJN,Derrick Favors\favorde01,Georgia Institute of Technology,8,508,13140,5829,3625,556,.512,.200,.667,25.9,11.5,7.1,1.1,36.2,.132,0.9,9.5
4,4,MIN,Wesley Johnson\johnswe01,Syracuse University,8,525,12137,3896,1731,591,.406,.334,.741,23.1,7.4,3.3,1.1,9.6,.038,-1.2,2.6
5,5,SAC,DeMarcus Cousins\couside01,University of Kentucky,8,517,16634,11095,5634,1621,.460,.337,.736,32.2,21.5,10.9,3.1,39.5,.114,2.7,19.8
6,6,GSW,Ekpe Udoh\udohek01,Baylor University,6,297,4985,1150,932,212,.433,.000,.723,16.8,3.9,3.1,0.7,7.2,.069,-0.5,1.8
7,7,DET,Greg Monroe\monrogr01,Georgetown University,8,555,16309,7743,4828,1248,.513,.000,.705,29.4,14.0,8.7,2.2,46.2,.136,2.0,16.3
8,8,LAC,Al-Farouq Aminu\aminual01,Wake Forest University,8,536,12993,3922,3060,656,.427,.334,.726,24.2,7.3,5.7,1.2,18.8,.069,-0.3,5.7
9,9,UTA,Gordon Hayward\haywago01,Butler University,8,517,16169,8079,2150,1762,.444,.368,.820,31.3,15.6,4.2,3.4,43.1,.128,2.0,16.3
