,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving\irvinky01,Duke University,7,411,13987,8958,1379,2262,.459,.384,.874,34.0,21.8,3.4,5.5,45.0,.154,3.1,18.1
2,2,MIN,Derrick Williams\willide02,University of Arizona,6,426,8855,3807,1692,293,.434,.300,.710,20.8,8.9,4.0,0.7,14.1,.076,-3.2,-2.6
3,3,UTA,Enes Kanter\kanteen01,,7,471,10149,5376,3259,306,.534,.296,.774,21.5,11.4,6.9,0.6,29.5,.140,-2.2,-0.4
4,4,CLE,Tristan Thompson\thomptr01,University of Texas at Austin,7,477,13582,4421,4079,388,.516,.000,.610,28.5,9.3,8.6,0.8,35.3,.125,-0.6,4.9
5,5,TOR,Jonas Valanciunas\valanjo01,,6,387,9995,4429,3275,255,.556,.357,.786,25.8,11.4,8.5,0.7,35.7,.172,-0.5,3.8
6,6,WAS,Jan Vesely\veselja01,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-0.6,0.9
7,7,SAC,Bismack Biyombo\biyombi01,,7,478,10027,2303,3085,199,.510,.000,.555,21.0,4.8,6.5,0.4,18.4,.088,-2.2,-0.5
8,8,DET,Brandon Knight\knighbr03,University of Kentucky,6,382,11939,5820,1277,1629,.415,.357,.812,31.3,15.2,3.3,4.3,11.6,.047,-1.2,2.3
9,9,CHA,Kemba Walker\walkeke02,University of Connecticut,7,470,15965,8728,1809,2542,.412,.350,.830,34.0,18.6,3.8,5.4,35.7,.107,2.3,17.1
10,10,MIL,Jimmer Fredette\fredeji01,Brigham Young University,5,235,3148,1416,236,323,.412,.381,.876,13.4,6.0,1.0,1.4,2.4,.037,-4.0,-1.6
11,11,GSW,Klay Thompson\thompkl01,Washington State University,7,493,16157,9459,1676,1119,.456,.422,.854,32.8,19.2,3.4,2.3,39.4,.117,0.5,10.3
12,12,UTA,Alec Burks\burksal01,University of Colorado,7,330,7187,3330,974,568,.429,.363,.759,21.8,10.1,3.0,1.7,11.0,.073,-2.0,-0.1
13,13,PHO,Markieff Morris\morrima02,University of Kansas,7,470,12312,5553,2601,786,.447,.334,.774,26.2,11.8,5.5,1.7,19.3,.075,-0.7,4.0
14,14,HOU,Marcus Morris\morrima03,University of Kansas,7,432,11303,4707,1855,672,.427,.354,.724,26.2,10.9,4.3,1.6,20.0,.085,-0.4,4.5
15,15,IND,Kawhi Leonard\leonaka01,San Diego State University,7,400,12187,6533,2479,905,.495,.388,.847,30.5,16.3,6.2,2.3,55.6,.219,6.3,25.5
16,16,PHI,Nikola Vucevic\vucevni01,University of Southern California,7,430,12866,6357,4252,916,.502,.333,.724,29.9,14.8,9.9,2.1,30.9,.115,0.9,9.4
17,17,NYK,Iman Shumpert\shumpim01,Georgia Institute of Technology,7,383,9732,2799,1315,721,.396,.339,.763,25.4,7.3,3.4,1.9,11.6,.057,-0.4,4.0
18,18,WAS,Chris Singleton\singlch01,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-2.3,-0.2
19,19,CHA,Tobias Harris\harrito02,University of Tennessee,7,414,12059,5839,2329,656,.468,.348,.813,29.1,14.1,5.6,1.6,28.6,.114,0.0,6.1
20,20,MIN,Donatas Motiejunas\motiedo01,,5,248,4553,1826,949,268,.469,.300,.600,18.4,7.4,3.8,1.1,7.2,.076,-2.0,0.0
21,21,POR,Nolan Smith\smithno01,Duke University,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.5,-0.9
22,22,DEN,Kenneth Faried\farieke01,Morehead State University,7,434,10938,5024,3612,449,.545,.100,.655,25.2,11.6,8.3,1.0,35.9,.158,1.4,9.3
23,23,HOU,Nikola Mirotic\mirotni01,,4,223,5110,2454,1181,274,.413,.355,.793,22.9,11.0,5.3,1.2,14.0,.131,0.9,3.7
24,24,OKC,Reggie Jackson\jacksre01,Boston College,7,433,10710,5378,1309,1902,.433,.325,.859,24.7,12.4,3.0,4.4,23.2,.104,0.1,5.8
25,25,BOS,MarShon Brooks\brookma01,Providence College,3,164,2876,1261,358,232,.442,.326,.748,17.5,7.7,2.2,1.4,2.5,.041,-2.5,-0.4
26,26,DAL,Jordan Hamilton\hamiljo02,University of Texas at Austin,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-1.5,0.3
27,27,NJN,JaJuan Johnson\johnsja02,Purdue University,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-6.3,-0.3
28,28,CHI,Norris Cole\coleno01,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.0,-4.0
29,29,SAS,Cory Joseph\josepco01,University of Texas at Austin,7,394,7825,2710,900,992,.454,.338,.776,19.9,6.9,2.3,2.5,16.5,.101,-0.5,2.9
30,30,CHI,Jimmy Butler\butleji01,Marquette University,7,427,13924,6753,2078,1387,.448,.338,.830,32.6,15.8,4.9,3.2,52.5,.181,3.9,20.6
31,31,MIA,Bojan Bogdanovic\bogdabo02,,4,268,6997,3122,841,319,.448,.375,.861,26.1,11.6,3.1,1.2,8.0,.055,-2.5,-0.9
32,32,CLE,Justin Harper\harpeju01,University of Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.4,-0.2
33,33,DET,Kyle Singler\singlky01,Duke University,6,348,7767,2315,1020,270,.419,.362,.789,22.3,6.7,2.9,0.8,10.0,.062,-1.6,0.7
34,34,WAS,Shelvin Mack\macksh01,Butler University,7,354,6215,2194,674,1064,.423,.322,.741,17.6,6.2,1.9,3.0,8.0,.061,-2.6,-0.9
35,35,SAC,Tyler Honeycutt\honeyty01,University of California Los Angeles,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-6.4,-0.1
36,36,NJN,Jordan Williams\willijo03,University of Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-3.1,-0.2
37,37,LAC,Trey Thompkins\thomptr02,University of Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-8.9,-0.2
38,38,HOU,Chandler Parsons\parsoch01,University of Florida,7,397,12490,5302,1872,1133,.468,.377,.707,31.5,13.4,4.7,2.9,29.1,.112,2.0,12.4
39,39,CHA,Jeremy Tyler\tylerje01,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-6.6,-1.2
40,40,MIL,Jon Leuer\leuerjo01,University of Wisconsin,7,336,5543,2239,1329,287,.478,.335,.769,16.5,6.7,4.0,0.9,12.3,.107,-1.2,1.1
41,41,LAL,Darius Morris\morrida01,University of Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.6,-1.3
42,42,IND,Davis Bertans\bertada01,,2,93,1070,422,139,61,.443,.394,.830,11.5,4.5,1.5,0.7,3.1,.140,1.6,1.0
43,43,CHI,Malcolm Lee\leema01,University of California Los Angeles,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.0,0.0
44,44,GSW,Charles Jenkins\jenkich01,Hofstra University,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-5.9,-1.3
45,45,NOH,Josh Harrellson\harrejo01,University of Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.7,0.3
46,46,LAL,Andrew Goudelock\goudean01,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-6.5,-0.5
47,47,LAC,Travis Leslie\leslitr01,University of Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.2,0.0
48,48,ATL,Keith Benson\bensoke02,Oakland University,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-10.4,0.0
49,49,MEM,Josh Selby\selbyjo01,University of Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-10.1,-0.6
50,50,PHI,Lavoy Allen\allenla01,Temple University,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-1.2,1.3
51,51,POR,Jon Diebler\diebljo01,Ohio State University,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin\macklve01,University of Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,-0.6,0.0
53,53,ORL,DeAndre Liggins\liggide01,University of Kentucky,5,144,1574,300,210,95,.401,.350,.549,10.9,2.1,1.5,0.7,1.2,.036,-2.0,0.0
54,54,CLE,Milan Macvan\macvami01,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore\mooreet01,Purdue University,7,410,8084,2886,749,710,.447,.384,.739,19.7,7.0,1.8,1.7,9.3,.055,-2.0,0.1
56,56,LAL,Chukwudiebere Maduabum\maduach01,,,,,,,,,,,,,,,,,,
57,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok\majokat01,,,,,,,,,,,,,,,,,,
59,59,SAS,Adam Hanga\hangaad01,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas\thomais02,University of Washington,6,441,13214,8437,1140,2277,.443,.367,.876,30.0,19.1,2.6,5.2,45.4,.165,2.5,14.9
