,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett\bennean01,University of Nevada Las Vegas,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-5.6,-1.7
2,2,ORL,Victor Oladipo\oladivi01,Indiana University,5,326,10853,5477,1450,1223,.442,.358,.799,33.3,16.8,4.4,3.8,17.9,.079,0.5,6.8
3,3,WAS,Otto Porter\porteot01,Georgetown University,5,302,7762,2981,1416,381,.483,.399,.779,25.7,9.9,4.7,1.3,21.8,.135,2.0,7.9
4,4,CHA,Cody Zeller\zelleco01,Indiana University,5,298,6780,2376,1680,378,.499,.214,.733,22.8,8.0,5.6,1.3,19.5,.138,0.7,4.5
5,5,PHO,Alex Len\lenal01,University of Maryland,5,303,6037,2151,1965,221,.475,.227,.720,19.9,7.1,6.5,0.7,10.4,.083,-2.0,0.0
6,6,NOH,Nerlens Noel\noelne01,University of Kentucky,4,211,5548,2008,1520,306,.512,.333,.625,26.3,9.5,7.2,1.5,11.6,.100,1.1,4.4
7,7,SAC,Ben McLemore\mclembe01,University of Kansas,5,316,7872,2892,801,372,.416,.350,.780,24.9,9.2,2.5,1.2,4.1,.025,-2.7,-1.4
8,8,DET,Kentavious Caldwell-Pope\caldwke01,University of Georgia,5,348,10636,4120,1106,566,.405,.334,.783,30.6,11.8,3.2,1.6,16.3,.073,-0.1,5.2
9,9,MIN,Trey Burke\burketr01,University of Michigan,4,267,6619,2832,571,972,.390,.337,.813,24.8,10.6,2.1,3.6,5.9,.043,-2.5,-0.9
10,10,POR,C.J. McCollum\mccolcj01,Lehigh University,5,299,8454,4966,849,848,.456,.413,.848,28.3,16.6,2.8,2.8,19.3,.109,0.3,4.9
11,11,PHI,Michael Carter-Williams\cartemi01,Syracuse University,5,262,7497,3166,1295,1341,.402,.253,.702,28.6,12.1,4.9,5.1,3.7,.024,-0.8,2.2
12,12,OKC,Steven Adams\adamsst01,University of Pittsburgh,5,347,8527,2831,2310,291,.579,.000,.581,24.6,8.2,6.7,0.8,25.0,.141,1.2,6.9
13,13,DAL,Kelly Olynyk\olynyke01,Gonzaga University,5,318,6708,3043,1545,557,.480,.377,.747,21.1,9.6,4.9,1.8,17.0,.122,1.2,5.4
14,14,UTA,Shabazz Muhammad\muhamsh01,University of California Los Angeles,5,259,4612,2383,733,144,.471,.317,.748,17.8,9.2,2.8,0.6,7.8,.082,-4.1,-2.4
15,15,MIL,Giannis Antetokounmpo\antetgi01,,5,355,11501,5800,2567,1310,.506,.277,.747,32.4,16.3,7.2,3.7,34.2,.143,3.2,15.0
16,16,BOS,Lucas Nogueira\noguelu01,,4,115,1596,407,356,59,.635,.269,.660,13.9,3.5,3.1,0.5,5.5,.165,4.9,2.8
17,17,ATL,Dennis Schroder\schrode01,,5,322,7446,3975,787,1498,.435,.323,.826,23.1,12.3,2.4,4.7,9.5,.061,-1.9,0.2
18,18,ATL,Shane Larkin\larkish01,University of Miami,4,233,4449,1281,435,674,.428,.337,.770,19.1,5.5,1.9,2.9,3.8,.041,-2.6,-0.6
19,19,CLE,Sergey Karasev\karasse01,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.1,-0.3
20,20,CHI,Tony Snell\snellto01,University of New Mexico,5,327,7310,2076,823,336,.421,.376,.803,22.4,6.3,2.5,1.0,9.2,.061,-2.0,0.0
21,21,UTA,Gorgui Dieng\dienggo01,University of Louisville,5,336,8596,2896,2332,530,.509,.330,.785,25.6,8.6,6.9,1.6,20.6,.115,1.9,8.4
22,22,BRK,Mason Plumlee\plumlma01,Duke University,5,355,8061,3109,2288,722,.560,.000,.567,22.7,8.8,6.4,2.0,23.2,.138,2.1,8.3
23,23,IND,Solomon Hill\hillso01,University of Arizona,4,249,5847,1585,828,394,.400,.336,.822,23.5,6.4,3.3,1.6,8.7,.072,-0.4,2.4
24,24,NYK,Tim Hardaway\hardati02,University of Michigan,5,302,7290,3471,675,496,.426,.349,.803,24.1,11.5,2.2,1.6,12.1,.080,-1.7,0.5
25,25,LAC,Reggie Bullock\bullore01,University of North Carolina,5,172,2190,635,275,100,.426,.369,.765,12.7,3.7,1.6,0.6,4.0,.087,-1.2,0.5
26,26,MIN,Andre Roberson\roberan03,University of Colorado,5,290,6530,1333,1165,250,.480,.257,.476,22.5,4.6,4.0,0.9,12.4,.091,0.5,4.2
27,27,DEN,Rudy Gobert\goberru01,,5,287,7807,2692,2805,325,.610,.000,.619,27.2,9.4,9.8,1.1,32.2,.198,4.5,12.7
28,28,SAS,Livio Jean-Charles\jeancli01,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin\goodwar01,University of Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-4.2,-1.3
30,30,PHO,Nemanja Nedovic\nedovne01,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.6,-0.3
31,31,CLE,Allen Crabbe\crabbal01,University of California,5,262,6177,2302,681,296,.442,.398,.848,23.6,8.8,2.6,1.1,11.2,.087,-0.8,1.8
32,32,OKC,Alex Abrines\abrinal01,,2,105,1635,570,149,55,.392,.381,.875,15.6,5.4,1.4,0.5,3.0,.089,-2.7,-0.3
33,33,CLE,Carrick Felix\felixca01,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-4.7,0.0
34,34,HOU,Isaiah Canaan\canaais01,Murray State University,5,196,3984,1660,361,343,.370,.353,.841,20.3,8.5,1.8,1.8,4.3,.052,-2.6,-0.6
35,35,PHI,Glen Rice\ricegl02,Georgia Institute of Technology,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-7.3,-0.2
36,36,SAC,Ray McCallum\mccalra01,University of Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.8,-0.6
37,37,DET,Tony Mitchell\mitchto02,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,1.3,0.1
38,38,WAS,Nate Wolters\woltena01,South Dakota State University,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-4.0,-0.8
