,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
39,39,POR,Jeff Withey\witheje01,University of Kansas,5,207,2072,666,518,64,.525,.143,.716,10.0,3.2,2.5,0.3,6.8,.157,0.6,1.4
40,40,POR,Grant Jerrett\jerregr01,University of Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-8.4,-0.1
41,41,MEM,Jamaal Franklin\frankja01,San Diego State University,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.4,-0.1
42,42,PHI,Pierre Jackson\jackspi01,Baylor University,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,43,MIL,Ricky Ledo\ledori01,Providence College,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.8,-0.4
44,44,DAL,Mike Muscala\muscami01,Bucknell University,5,202,2746,976,578,170,.501,.385,.827,13.6,4.8,2.9,0.8,7.5,.132,0.1,1.5
45,45,POR,Marko Todorovic\todorma01,,,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green\greener01,Virginia Polytechnic Institute and State University,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-5.1,-0.3
47,47,ATL,Raul Neto\netora01,,3,138,2071,660,173,241,.439,.391,.739,15.0,4.8,1.3,1.7,2.9,.068,-2.0,0.0
48,48,LAL,Ryan Kelly\kellyry01,Duke University,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.2,-0.2
49,49,CHI,Erik Murphy\murpher01,University of Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.1,-0.1
50,50,ATL,James Ennis\ennisja01,California State University Long Beach,4,185,3755,1155,607,171,.453,.368,.817,20.3,6.2,3.3,0.9,7.8,.100,-0.4,1.6
51,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown\brownlo01,North Carolina State University,4,72,894,210,114,148,.364,.143,.667,12.4,2.9,1.6,2.1,-0.2,-.010,-4.1,-0.5
53,53,IND,Colton Iverson\iversco01,Colorado State University,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi\kazemar01,University of Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne\lauvejo01,,4,177,2552,1030,695,158,.469,.287,.730,14.4,5.8,3.9,0.9,4.3,.082,-2.8,-0.5
56,56,DET,Peyton Siva\sivape01,University of Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-7.3,-0.3
57,57,PHO,Alex Oriakhi\oriakal01,University of Missouri,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas\thomade01,Ohio State University,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljevic\dubljbo01,,,,,,,,,,,,,,,,,,
60,60,MEM,Janis Timma\timmaja01,,,,,,,,,,,,,,,,,,
