,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden\odengr01,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,1.1,1.6
2,2,SEA,Kevin Durant\duranke01,University of Texas at Austin,11,726,27071,19712,5189,2784,.489,.380,.882,37.3,27.2,7.1,3.8,123.0,.218,5.1,48.3
3,3,ATL,Al Horford\horfoal01,University of Florida,11,673,22417,9618,5824,2069,.528,.355,.750,33.3,14.3,8.7,3.1,74.3,.159,3.1,29.0
4,4,MEM,Mike Conley\conlemi01,Ohio State University,11,718,23358,10255,2088,4060,.441,.377,.814,32.5,14.3,2.9,5.7,63.4,.130,1.8,22.5
5,5,BOS,Jeff Green\greenje02,Georgetown University,10,733,22504,9827,3417,1177,.437,.332,.794,30.7,13.4,4.7,1.6,34.5,.074,-1.3,4.1
6,6,MIL,Yi Jianlian\jianlyi01,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.7,-4.1
7,7,MIN,Corey Brewer\breweco01,University of Florida,11,737,17336,6626,2081,1162,.424,.282,.712,23.5,9.0,2.8,1.6,19.5,.054,-1.1,4.1
8,8,CHA,Brandan Wright\wrighbr03,University of North Carolina,10,416,6797,2922,1520,191,.607,.000,.675,16.3,7.0,3.7,0.5,25.8,.182,1.7,6.3
9,9,CHI,Joakim Noah\noahjo01,University of Florida,11,620,17874,5562,5795,1810,.490,.000,.699,28.8,9.0,9.3,2.9,59.6,.160,4.2,27.8
10,10,SAC,Spencer Hawes\hawessp01,University of Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-0.7,5.0
11,11,ATL,Acie Law\lawac01,Texas A&M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-5.4,-2.0
12,12,PHI,Thaddeus Young\youngth01,Georgia Institute of Technology,11,766,23500,10428,4530,1187,.500,.331,.678,30.7,13.6,5.9,1.5,49.3,.101,0.4,14.5
13,13,NOK,Julian Wright\wrighju01,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-1.3,0.5
14,14,LAC,Al Thornton\thornal01,Florida State University,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.1
15,15,DET,Rodney Stuckey\stuckro01,Eastern Washington University,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-1.4,2.7
16,16,WAS,Nick Young\youngni01,University of Southern California,11,663,15342,7787,1335,662,.420,.377,.832,23.1,11.7,2.0,1.0,17.7,.055,-3.3,-5.1
17,17,NJN,Sean Williams\willise01,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-2.0,0.0
18,18,GSW,Marco Belinelli\belinma01,,11,671,15589,6532,1384,1146,.423,.377,.838,23.2,9.7,2.1,1.7,24.6,.076,-1.6,1.4
19,19,LAL,Javaris Crittenton\crittja01,Georgia Institute of Technology,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.3,-1.1
20,20,MIA,Jason Smith\smithja02,Colorado State University,10,573,9663,3630,1989,426,.471,.346,.780,16.9,6.3,3.5,0.7,13.9,.069,-2.5,-1.3
21,21,PHI,Daequan Cook\cookda02,Ohio State University,6,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039,-3.6,-2.4
22,22,CHA,Jared Dudley\dudleja01,Boston College,11,752,17949,6171,2558,1226,.468,.397,.733,23.9,8.2,3.4,1.6,39.9,.107,1.3,14.9
23,23,NYK,Wilson Chandler\chandwi01,DePaul University,10,539,16717,7432,2922,980,.444,.338,.771,31.0,13.8,5.4,1.8,24.4,.070,-0.8,5.2
24,24,PHO,Rudy Fernandez\fernaru01,,4,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114,1.8,5.7
25,25,UTA,Morris Almond\almonmo01,Rice University,3,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005,-6.4,-0.4
26,26,HOU,Aaron Brooks\brookaa01,University of Oregon,10,624,13303,6210,1068,1912,.413,.371,.838,21.3,10.0,1.7,3.1,19.3,.070,-1.7,0.9
27,27,DET,Arron Afflalo\afflaar01,University of California Los Angeles,11,731,20447,8075,2145,1367,.450,.385,.824,28.0,11.0,2.9,1.9,33.2,.078,-1.1,4.8
28,28,SAS,Tiago Splitter\splitti01,,7,355,6812,2816,1779,423,.555,.143,.697,19.2,7.9,5.0,1.2,25.3,.178,1.9,6.7
29,29,PHO,Alando Tucker\tuckeal02,University of Wisconsin,3,51,426,211,49,16,.423,.294,.783,8.4,4.1,1.0,0.3,0.4,.045,-6.7,-0.5
30,30,PHI,Petteri Koponen\koponpe01,,,,,,,,,,,,,,,,,,
31,31,SEA,Carl Landry\landrca01,Purdue University,9,513,11524,5541,2533,355,.535,.300,.785,22.5,10.8,4.9,0.7,35.9,.149,-1.1,2.6
32,32,BOS,Gabe Pruitt\pruitga01,University of Southern California,2,62,461,125,51,52,.321,.283,.783,7.4,2.0,0.8,0.8,0.4,.043,-3.1,-0.1
33,33,SAS,Marcus Williams\willima04,University of Arizona,2,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-.084,-7.5,-0.1
