,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose\rosede01,University of Memphis,9,477,16480,9255,1753,2811,.451,.297,.821,34.5,19.4,3.7,5.9,34.3,.100,0.5,10.3
2,2,MIA,Michael Beasley\beaslmi01,Kansas State University,10,532,12353,6633,2471,664,.460,.346,.755,23.2,12.5,4.6,1.2,13.1,.051,-3.5,-4.6
3,3,MIN,O.J. Mayo\mayooj01,University of Southern California,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.8,5.1
4,4,SEA,Russell Westbrook\westbru01,University of California Los Angeles,10,697,23845,15817,4427,5581,.431,.312,.817,34.2,22.7,6.4,8.0,82.6,.166,6.4,50.7
5,5,MEM,Kevin Love\loveke01,University of California Los Angeles,10,606,19657,11177,6919,1425,.444,.366,.822,32.4,18.4,11.4,2.4,74.5,.182,2.9,24.2
6,6,NYK,Danilo Gallinari\gallida01,,9,471,14671,7200,2199,928,.418,.367,.864,31.1,15.3,4.7,2.0,41.2,.135,1.0,10.9
7,7,LAC,Eric Gordon\gordoer01,Indiana University,10,518,17284,8634,1302,1616,.430,.376,.818,33.4,16.7,2.5,3.1,27.9,.077,-0.7,5.6
8,8,MIL,Joe Alexander\alexajo01,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.3,-0.2
9,9,CHA,D.J. Augustin\augusdj01,University of Texas at Austin,10,675,15891,6422,1200,2571,.403,.373,.862,23.5,9.5,1.8,3.8,31.9,.097,-1.7,1.2
10,10,NJN,Brook Lopez\lopezbr01,Stanford University,10,589,18735,10796,4123,914,.503,.323,.793,31.8,18.3,7.0,1.6,50.8,.130,0.9,13.5
11,11,IND,Jerryd Bayless\bayleje01,University of Arizona,10,535,11481,4591,1145,1539,.415,.367,.825,21.5,8.6,2.1,2.9,18.3,.076,-1.8,0.6
12,12,SAC,Jason Thompson\thompja02,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-1.7,1.3
13,13,POR,Brandon Rush\rushbr01,University of Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.7,0.7
14,14,GSW,Anthony Randolph\randoan01,Louisiana State University,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-2.1,-0.1
15,15,PHO,Robin Lopez\lopezro01,Stanford University,10,656,15204,5860,3625,488,.526,.154,.759,23.2,8.9,5.5,0.7,39.5,.125,0.4,9.1
16,16,PHI,Marreese Speights\speigma01,University of Florida,10,676,10237,5346,2790,435,.461,.352,.798,15.1,7.9,4.1,0.6,25.2,.118,-2.9,-2.3
17,17,TOR,Roy Hibbert\hibbero01,Georgetown University,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,0.2,9.1
18,18,WAS,JaVale McGee\mcgeeja01,University of Nevada Reno,10,518,8913,3952,2533,168,.554,.083,.578,17.2,7.6,4.9,0.3,24.0,.129,-0.6,3.1
19,19,CLE,J.J. Hickson\hicksjj01,North Carolina State University,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-2.3,-0.9
20,20,CHA,Alexis Ajinca\ajincal01,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.5,-0.5
21,21,NJN,Ryan Anderson\anderry01,University of California,10,583,15477,7620,3166,526,.424,.382,.858,26.5,13.1,5.4,0.9,44.3,.138,0.8,10.9
22,22,ORL,Courtney Lee\leeco01,Western Kentucky University,10,706,19793,6999,1921,1204,.452,.390,.853,28.0,9.9,2.7,1.7,36.9,.090,0.0,9.8
23,23,UTA,Kosta Koufos\koufoko01,Ohio State University,10,602,9915,3427,2974,273,.532,.000,.597,16.5,5.7,4.9,0.5,24.8,.120,-0.9,2.7
24,24,SEA,Serge Ibaka\ibakase01,,9,628,18215,7569,4560,401,.516,.373,.754,29.0,12.1,7.3,0.6,54.7,.144,0.7,12.6
25,25,HOU,Nicolas Batum\batumni01,,10,643,20356,7758,3409,2376,.435,.355,.840,31.7,12.1,5.3,3.7,47.4,.112,2.6,23.6
26,26,SAS,George Hill\hillge01,Indiana University-Purdue University Indianapolis,10,625,18034,7295,2001,2070,.453,.383,.800,28.9,11.7,3.2,3.3,54.9,.146,2.0,18.2
27,27,NOH,Darrell Arthur\arthuda01,University of Kansas,9,488,8842,3235,1758,401,.443,.347,.766,18.1,6.6,3.6,0.8,12.1,.066,-1.9,0.3
28,28,MEM,Donte Greene\greendo01,Syracuse University,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-3.8,-2.0
29,29,DET,D.J. White\whitedj01,Indiana University,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-3.4,-0.7
30,30,BOS,J.R. Giddens\giddejr01,University of New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.6,-0.2
31,31,MIN,Nikola Pekovic\pekovni01,,6,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.8,2.0
32,32,SEA,Walter Sharpe\sharpwa01,University of Alabama at Birmingham,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-.131,-16.5,-0.1
33,33,POR,Joey Dorsey\dorsejo01,University of Memphis,4,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-1.3,0.3
34,34,MIN,Mario Chalmers\chalmma01,University of Kansas,9,609,16501,5453,1509,2312,.418,.353,.786,27.1,9.0,2.5,3.8,31.8,.092,0.4,9.9
35,35,LAC,DeAndre Jordan\jordade01,Texas A&M University,10,701,19537,6458,7233,473,.676,.091,.433,27.9,9.2,10.3,0.7,70.3,.173,2.1,20.5
36,36,POR,Omer Asik\asikom01,,8,461,9106,2468,3336,279,.529,.000,.554,19.8,5.4,7.2,0.6,21.0,.110,-1.5,1.2
37,37,MIL,Luc Mbah a Moute\mbahalu01,University of California Los Angeles,10,645,14995,4058,2686,554,.452,.331,.659,23.2,6.3,4.2,0.9,24.1,.077,-0.8,4.5
38,38,CHA,Kyle Weaver\weaveky01,Washington State University,3,73,1379,363,158,119,.441,.353,.736,18.9,5.0,2.2,1.6,1.5,.051,-1.3,0.3
39,39,CHI,Sonny Weems\weemsso01,University of Arkansas,4,183,3335,1189,402,257,.465,.283,.702,18.2,6.5,2.2,1.4,0.0,.001,-4.2,-1.9
40,40,NJN,Chris Douglas-Roberts\douglch01,University of Memphis,6,222,4381,1571,472,254,.439,.329,.831,19.7,7.1,2.1,1.1,5.4,.059,-2.9,-1.0
